,, , ,  /t, /t, /t,     
          delta ,    ,   ,   ,     
          0,  +0,  x,  x,   x 
         10,  +2,  0,  0,   x 
       2490,  +2,  0,  0, 200 
       2550,  +2,  0,  1, 155 
       2610,  +2,  0,  2, 164 
       2670,  +2,  0,  3, 156 
       2730,  +2,  0,  4, 203 
       2790,  +2,  0,  5, 139 
       2850,  +2,  0,  6, 125 
       2910,  +2,  0,  7, 103 
       2970,  +2,  0,  8,  90 
       3030,  +2,  0,  9, 109 
       3090,  +2,  0, 10, 118 
       3150,  +2,  0, 11, 110 
       3210,  +2,  0, 12,  74 
       3270,  +2,  0, 13, 129 
       3330,  +2,  0, 14, 157 
       3390,  +2,  0, 15, 159 
       3450,  +2,  0, 16, 160 
       3510,  +2,  1,  0, 183 
       3570,  +2,  1,  1, 181 
       3630,  +2,  1,  2, 172 
       3690,  +2,  1,  3, 163 
       3750,  +2,  1,  4, 156 
       3810,  +2,  1,  5, 134 
       3870,  +2,  1,  6, 112 
       3930,  +2,  1,  7, 100 
       3990,  +2,  1,  8,  99 
       4050,  +2,  1,  9, 100 
       4110,  +2,  1, 10, 105 
       4170,  +2,  1, 11, 102 
       4230,  +2,  1, 12, 103 
       4290,  +2,  1, 13, 122 
       4350,  +2,  1, 14, 147 
       4410,  +2,  1, 15, 159 
       4470,  +2,  1, 16, 167 
       4530,  +2,  2,  0, 192 
       4590,  +2,  2,  1, 182 
       4650,  +2,  2,  2, 168 
       4710,  +2,  2,  3, 141 
       4770,  +2,  2,  4, 120 
       4830,  +2,  2,  5, 105 
       4890,  +2,  2,  6,  91 
       4950,  +2,  2,  7,  88 
       5010,  +2,  2,  8,  94 
       5070,  +2,  2,  9,  94 
       5130,  +2,  2, 10, 101 
       5190,  +2,  2, 11, 108 
       5250,  +2,  2, 12, 116 
       5310,  +2,  2, 13, 132 
       5370,  +2,  2, 14, 143 
       5430,  +2,  2, 15, 159 
       5490,  +2,  2, 16, 166 
       5550,  +2,  3,  0, 197 
       5610,  +2,  3,  1, 190 
       5670,  +2,  3,  2, 156 
       5730,  +2,  3,  3, 115 
       5790,  +2,  3,  4,  83 
       5850,  +2,  3,  5,  73 
       5910,  +2,  3,  6,  70 
       5970,  +2,  3,  7,  67 
       6030,  +2,  3,  8,  69 
       6090,  +2,  3,  9,  83 
       6150,  +2,  3, 10,  96 
       6210,  +2,  3, 11, 113 
       6270,  +2,  3, 12, 131 
       6330,  +2,  3, 13, 138 
       6390,  +2,  3, 14, 148 
       6450,  +2,  3, 15, 161 
       6510,  +2,  3, 16, 177 
       6570,  +2,  4,  0, 246 
       6630,  +2,  4,  1, 191 
       6690,  +2,  4,  2, 153 
       6750,  +2,  4,  3,  94 
       6810,  +2,  4,  4,  20 
       6870,  +2,  4,  5,  46 
       6930,  +2,  4,  6,  49 
       6990,  +2,  4,  7,  51 
       7050,  +2,  4,  8,  35 
       7110,  +2,  4,  9,  70 
       7170,  +2,  4, 10,  90 
       7230,  +2,  4, 11, 112 
       7290,  +2,  4, 12, 146 
       7350,  +2,  4, 13, 137 
       7410,  +2,  4, 14, 144 
       7470,  +2,  4, 15, 160 
       7530,  +2,  4, 16, 194 
       7590,  +2,  5,  0, 182 
       7650,  +2,  5,  1, 176 
       7710,  +2,  5,  2, 137 
       7770,  +2,  5,  3,  90 
       7830,  +2,  5,  4,  52 
       7890,  +2,  5,  5,  39 
