         ns       /testbench/x   /testbench/y   /testbench/z      
          delta                                                   
          0  +0              x              x              x 
         10  +2              0              0              x 
      19870  +2              0              0            200 
      19930  +2              0              1            103 
      19990  +2              0              2            114 
      20050  +2              0              3             86 
      20110  +2              0              4            130 
      20170  +2              0              5             83 
      20230  +2              0              6            102 
      20290  +2              0              7             88 
      20350  +2              0              8            150 
      20410  +2              0              9             87 
      20470  +2              0             10             99 
      20530  +2              0             11             79 
      20590  +2              0             12            120 
      20650  +2              0             13             80 
      20710  +2              0             14            102 
      20770  +2              0             15             90 
      20830  +2              0             16            160 
      20890  +2              1              0            113 
      20950  +2              1              1             50 
      21010  +2              1              2            108 
      21070  +2              1              3             62 
      21130  +2              1              4            113 
      21190  +2              1              5             71 
      21250  +2              1              6            117 
      21310  +2              1              7             77 
      21370  +2              1              8            119 
      21430  +2              1              9             81 
      21490  +2              1             10            121 
      21550  +2              1             11             82 
      21610  +2              1             12            121 
      21670  +2              1             13             83 
      21730  +2              1             14            122 
      21790  +2              1             15             84 
      21850  +2              1             16            113 
      21910  +2              2              0            121 
      21970  +2              2              1             71 
      22030  +2              2              2             64 
      22090  +2              2              3             70 
      22150  +2              2              4            117 
      22210  +2              2              5             74 
      22270  +2              2              6             81 
      22330  +2              2              7             76 
      22390  +2              2              8            124 
      22450  +2              2              9             78 
      22510  +2              2             10             91 
      22570  +2              2             11             79 
      22630  +2              2             12            127 
      22690  +2              2             13             80 
      22750  +2              2             14             94 
      22810  +2              2             15             78 
      22870  +2              2             16            121 
      22930  +2              3              0             95 
      22990  +2              3              1             50 
      23050  +2              3              2             89 
      23110  +2              3              3             62 
      23170  +2              3              4             95 
      23230  +2              3              5             71 
      23290  +2              3              6             98 
      23350  +2              3              7             77 
      23410  +2              3              8            101 
      23470  +2              3              9             81 
      23530  +2              3             10            102 
      23590  +2              3             11             82 
      23650  +2              3             12            103 
      23710  +2              3             13             83 
      23770  +2              3             14            103 
      23830  +2              3             15             84 
      23890  +2              3             16             95 
      23950  +2              4              0            126 
      24010  +2              4              1             77 
      24070  +2              4              2             85 
      24130  +2              4              3             67 
      24190  +2              4              4             86 
      24250  +2              4              5             67 
      24310  +2              4              6             85 
      24370  +2              4              7             77 
      24430  +2              4              8            126 
      24490  +2              4              9             79 
      24550  +2              4             10             90 
      24610  +2              4             11             74 
      24670  +2              4             12            106 
      24730  +2              4             13             74 
      24790  +2              4             14             90 
      24850  +2              4             15             79 
      24910  +2              4             16            126 
      24970  +2              5              0             89 
      25030  +2              5              1             50 
      25090  +2              5              2             84 
      25150  +2              5              3             62 
      25210  +2              5              4             89 
      25270  +2              5              5             71 
      25330  +2              5              6             93 
      25390  +2              5              7             77 
      25450  +2              5              8             95 
      25510  +2              5              9             81 
      25570  +2              5             10             97 
      25630  +2              5             11             82 
      25690  +2              5             12             97 
      25750  +2              5             13             83 
      25810  +2              5             14             98 
      25870  +2              5             15             84 
      25930  +2              5             16             89 
      25990  +2              6              0             99 
      26050  +2              6              1             65 
      26110  +2              6              2             64 
      26170  +2              6              3             65 
      26230  +2              6              4             96 
      26290  +2              6              5             69 
      26350  +2              6              6             81 
      26410  +2              6              7             71 
      26470  +2              6              8            103 
      26530  +2              6              9             73 
      26590  +2              6             10             91 
      26650  +2              6             11             74 
      26710  +2              6             12            106 
      26770  +2              6             13             75 
      26830  +2              6             14             94 
      26890  +2              6             15             73 
      26950  +2              6             16             99 
      27010  +2              7              0             87 
      27070  +2              7              1             50 
      27130  +2              7              2             81 
      27190  +2              7              3             62 
      27250  +2              7              4             86 
      27310  +2              7              5             71 
      27370  +2              7              6             90 
      27430  +2              7              7             77 
      27490  +2              7              8             93 
      27550  +2              7              9             81 
      27610  +2              7             10             94 
      27670  +2              7             11             82 
      27730  +2              7             12             94 
      27790  +2              7             13             83 
      27850  +2              7             14             95 
      27910  +2              7             15             84 
      27970  +2              7             16             87 
      28030  +2              8              0            115 
      28090  +2              8              1             75 
      28150  +2              8              2             86 
      28210  +2              8              3             71 
      28270  +2              8              4            101 
      28330  +2              8              5             72 
      28390  +2              8              6             87 
      28450  +2              8              7             76 
      28510  +2              8              8            120 
      28570  +2              8              9             76 
      28630  +2              8             10             87 
      28690  +2              8             11             72 
      28750  +2              8             12            101 
